"OperatingTime";"MatrixSize"
125.365461892577;610
115.916433242221;560
44.3137138758995;330
96.7028080213779;450
98.2950777181536;500
21.5153161588198;180
109.144290524285;530
29.3032470512922;80
49.2778135165349;280
30.1761161284364;210
58.6378116845085;280
266.898432364114;900
74.537594194582;450
180.373001128225;780
263.569309181431;880
69.9806639098477;410
20.9180973690105;60
64.118362106853;340
183.732211950981;720
60.6190132121751;340
148.259773716082;630
239.501363007311;840
242.625649833652;860
45.7364830413663;390
69.5182574789471;380
262.43871260471;900
141.322044932947;640
169.572476161007;740
126.848499448914;610
267.179415601997;900
58.8167955152904;290
29.80212272657;190
261.506716115594;890
94.4619495941709;500
238.549404431714;880
26.6800543670032;190
189.337100462896;760
174.926866032888;720
296.080253719839;940
118.381757484575;550
169.584764037464;710
63.0963831986349;390
29.9696337540474;100
285.036631986737;930
36.6324430545048;280
117.355048430379;590
27.2758196213683;110
239.365329245154;840
49.5965378784977;320
211.331077264542;780
45.8510588036707;270
28.3997360674923;220
104.531196914244;520
30.5763690391921;270
44.0502370170104;180
120.923998985059;520
110.407785235335;560
14.6286537368347;130
45.9771962744241;260
174.169453961192;720
320.496177605048;960
22.6075999726683;100
200.177393624508;760
291.030021587807;950
214.287267911176;820
50.7179229951434;310
128.70041371109;650
305.405548615629;950
292.282533382119;950
76.4061167036215;340
45.0350952889966;260
21.5705356907819;170
56.8272635348905;320
88.6890236835575;510
261.383665997609;920
